Newick_label,vernacularName,imageURL,imageLicense,imageAuthor,infoURL,mass_in_kg,trophic_habit,ncbi_taxid,rank
Rangifer_tarandus,Reindeer,http://media.eol.org/content/2012/06/13/00/48543_orig.jpg,CC-BY-SA,Alexandre Buisse (Nattfodd),http://eol.org/pages/328653/overview,109.09,herbivore,9870,species
Cervus_elaphus,Red deer,http://media.eol.org/content/2014/09/16/00/20239_orig.jpg,CC-BY-SA,Sciadopitys,http://eol.org/pages/328649/overview,240.87,herbivore,9860,species
Bos_taurus,Cattle,https://media.eol.org/content/2014/09/29/06/46535_orig.jpg,CC-BY-SA,Cynthia Sims Parr,http://eol.org/pages/328699/overview,618.64,herbivore,9913,species
Ovis_orientalis,Asiatic mouflon,http://media.eol.org/content/2015/05/20/03/80720_orig.jpg,CC-BY-SA,Jšrg Hempel,http://eol.org/pages/311906/overview,39.1,herbivore,469796,species
Suricata_suricatta,Meerkat,http://media.eol.org/content/2016/08/16/05/67138_orig.jpg,CC-BY-SA,Sara&Joachim,http://eol.org/pages/311580/overview,0.73,carnivore,37032,species
Cystophora_cristata,Hooded seal,http://media.eol.org/content/2013/06/18/07/63362_orig.jpg,CC-BY-SA,"Ecomare, Salko de Wolf",http://eol.org/pages/328632/overview,278.9,omnivore,39293,species
Mephitis_mephitis,Striped skunk,http://media.eol.org/content/2012/06/15/06/75234_orig.jpg,CC-BY,Kevin Bowman,http://eol.org/pages/328593/overview,2.4,omnivore,30548,species
