id,__latitude,__longitude,country,country__shape,country__colour,year,year__shape,year__colour,haplotype,haplotype__shape,haplotype__colour
10562_2_70_IndMDUST380_2011,20,77,India,circle,#FF6347,2011,square,#1E90FF,,triangle,#FFFAFA
10562_2_71_IndMDUST381_2011,20,77,India,circle,#FF6347,2011,square,#1E90FF,,triangle,#FFFAFA
10562_2_72_IndoMDUST384_2011,-5,120,Indonesia,circle,#FFFF00,2011,square,#1E90FF,,triangle,#FFFAFA
10562_2_76_IndoMDUST395_2012,-5,120,Indonesia,circle,#FFFF00,2012,square,#0000FF,,triangle,#FFFAFA
10562_2_80_SamMDUST405_2012,-13.5833,-172.3333,Samoa,circle,#FF69B4,2012,square,#0000FF,,triangle,#FFFAFA
10562_2_82_IndMDUST413_2011,20,77,India,circle,#FF6347,2011,square,#1E90FF,,triangle,#FFFAFA
10562_2_84_SamMDUST416_2012,-13.5833,-172.3333,Samoa,circle,#FF69B4,2012,square,#0000FF,,triangle,#FFFAFA
10562_2_85_SamMDUST417_2012,-13.5833,-172.3333,Samoa,circle,#FF69B4,2012,square,#0000FF,,triangle,#FFFAFA
10562_2_86_FijMDUST419_2011,-18,175,Fiji,circle,#8B008B,2011,square,#1E90FF,,triangle,#FFFAFA
10592_2_1_Pak820_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_12_Pak2439_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_14_Pak200_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_15_Pak20753_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_16_Pak3163_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_17_Pak11193_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_18_Pak6289_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_19_Pak2064_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_2_Pak5504_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_21_Pak4180_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_25_Pak20911_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_27_Pak21669_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_29_Pak11110_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_3_Pak3657_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_31_Pak3164_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_34_Pak7415_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_35_AlgE99-6646_1999,28,3,Algeria,circle,#87CEFA,1999,square,#006400,,triangle,#FFFAFA
10592_2_36_Alg09-6318_2009,28,3,Algeria,circle,#87CEFA,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_37_Ind77-303_1977,20,77,India,circle,#FF6347,1977,square,#B8860B,,triangle,#FFFAFA
10592_2_38_PerE98-8119_1998,-10,-76,Peru,circle,#9932CC,1998,square,#556B2F,,triangle,#FFFAFA
10592_2_39_MorE99-8013_1999,32,-5,Morocco,circle,#ADD8E6,1999,square,#006400,,triangle,#FFFAFA
10592_2_40_IvoCoa07-4565_2007,7.539989,-5.54708,IvoryCoast,circle,#66CDAA,2007,square,#B0C4DE,,triangle,#FFFAFA
10592_2_41_SenE98-2107_1998,14,-14,Senegal,circle,#8FBC8F,1998,square,#556B2F,,triangle,#FFFAFA
10592_2_42_GabE98-2601_1998,-1,11.75,Gabon,circle,#20B2AA,1998,square,#556B2F,,triangle,#FFFAFA
10592_2_43_ComE99-9794_1999,-12.1667,44.25,Comoros,circle,#6495ED,1999,square,#006400,,triangle,#FFFAFA
10592_2_44_AlgE00-1382_2000,28,3,Algeria,circle,#87CEFA,2000,square,#F0FFFF,,triangle,#FFFAFA
10592_2_45_IndE97-2364_1997,20,77,India,circle,#FF6347,1997,square,#6B8E23,,triangle,#FFFAFA
10592_2_46_CamerIPCU_2007,6,12,Cameroon,circle,#000080,2007,square,#B0C4DE,,triangle,#FFFAFA
10592_2_47_Gui09-4821_2009,11,-10,Guinea,circle,#7FFFD4,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_48_MadE97-3246_1997,-20,47,Madagascar,circle,#B0C4DE,1997,square,#6B8E23,,triangle,#FFFAFA
